Date,vader_score,CP
2008-01-02,-0.09106666666666667,1447.16
2008-01-03,0.0,1447.16
2008-01-07,0.6369,1416.18
2008-01-09,0.20484999999999998,1409.13
2008-01-10,0.0,1420.33
2008-01-22,0.0,1310.5
2008-01-29,0.0,1362.3
2008-01-30,0.5994,1355.81
2008-02-01,0.0772,1395.42
2008-02-05,-0.2994,1336.64
2008-02-11,-0.5420499999999999,1339.13
2008-02-21,0.0,1342.53
2008-02-22,-0.1591,1353.11
2008-02-28,0.5267,1367.68
2008-02-29,-0.3182,1330.63
2008-03-05,0.0,1333.7
2008-03-07,-0.401,1293.37
2008-03-10,0.0,1273.37
2008-03-11,0.5106,1320.65
2008-03-18,-0.2732,1330.74
2008-03-27,-0.6124,1325.76
2008-04-02,0.5267,1367.53
2008-04-07,-0.296,1372.54
2008-04-16,0.21075,1364.71
2008-04-22,0.0,1375.94
2008-04-23,-0.6249,1379.93
2008-04-24,-0.2732,1388.82
2008-04-25,0.5267,1397.84
2008-05-05,0.0,1407.49
2008-05-06,0.3612,1418.26
2008-05-07,-0.296,1392.57
2008-05-08,0.0516,1397.68
2008-05-12,0.08449999999999998,1403.58
2008-05-16,-0.296,1425.35
2008-05-21,0.1027,1390.71
2008-05-23,0.0,1375.93
2008-05-27,0.0,1385.35
2008-05-29,-0.5719,1398.26
2008-06-02,-0.4404,1385.67
2008-06-04,0.43335,1377.2
2008-06-05,0.5719,1404.05
2008-06-09,-0.26335,1361.76
2008-06-13,-0.2732,1360.03
2008-06-20,0.4767,1317.93
2008-06-24,0.0,1314.29
2008-07-01,0.3818,1284.91
2008-07-02,-0.1909,1261.52
2008-07-07,0.7351,1252.31
2008-07-09,0.0,1244.69
2008-07-14,0.0,1228.3
2008-07-23,0.0,1282.19
2008-07-29,0.5106,1263.2
2008-07-31,0.0,1267.38
2008-08-01,0.4588,1260.31
2008-08-04,0.5106,1249.01
2008-08-08,-0.0516,1296.32
2008-08-13,-0.296,1285.83
2008-08-14,-0.25,1292.93
2008-08-19,0.0129,1266.69
2008-08-26,0.26335,1271.51
2008-08-27,-0.17,1281.66
2008-08-28,0.0,1300.68
2008-09-03,-0.6124,1274.98
2008-09-09,0.4404,1224.51
2008-09-10,0.0,1232.04
2008-09-11,0.0258,1249.05
2008-09-15,-0.3612,1192.7
2008-09-16,0.66725,1213.6
2008-09-17,-0.1027,1156.39
2008-09-19,-0.2732,1255.08
2008-09-24,0.0,1185.87
2008-09-26,0.0,1213.27
2008-09-29,-0.37610000000000005,1106.42
2008-10-01,0.0,1161.06
2008-10-06,0.0,1056.89
2008-10-07,-0.2732,996.23
2008-10-13,0.0,1003.35
2008-10-15,0.1909,907.84
2008-10-17,-0.20095,940.55
2008-10-20,0.0,985.4
2008-10-21,-0.3612,955.05
2008-10-23,-0.5362,908.11
2008-10-24,-0.25805,876.77
2008-10-29,-0.2732,930.09
2008-10-30,0.1366,954.09
2008-11-03,-0.14653333333333332,966.2999999999998
2008-11-04,0.0,1005.75
2008-11-05,0.0,952.77
2008-11-07,0.0,930.99
2008-11-10,-0.2732,919.21
2008-11-11,0.26415,898.95
2008-11-17,-0.035449999999999995,850.75
2008-11-21,0.0,800.03
2008-11-24,0.7184,851.81
2008-11-26,0.2023,887.68
2008-12-01,0.2263,816.21
2008-12-02,0.0,848.81
2008-12-03,0.0,870.74
2008-12-04,-0.6369,845.22
2008-12-09,-0.5994,888.67
2008-12-11,-0.5345,873.59
2008-12-17,-0.6124,904.42
2008-12-18,0.0,885.28
2008-12-24,0.4019,868.15
2008-12-30,-0.31245,890.64
2008-12-31,0.0,903.25
2009-01-07,-0.2732,906.65
2009-01-08,-0.6705,909.73
2009-01-12,-0.2732,870.26
2009-01-20,0.4215,805.22
2009-01-21,0.0,840.24
2009-01-23,-0.1779,831.95
2009-01-28,0.0,874.09
2009-01-30,-0.0516,825.88
2009-02-02,-0.296,825.44
2009-02-09,0.0,869.89
2009-02-17,0.0,789.17
2009-02-18,0.2202,788.42
2009-02-23,0.4404,743.33
2009-02-25,-0.4767,764.9
2009-03-02,-0.1027,700.82
2009-03-03,-0.3182,696.33
2009-03-04,0.4404,712.87
2009-03-05,0.0,682.55
2009-03-09,-0.4019,676.53
2009-03-13,0.0,756.55
2009-03-18,0.4215,794.35
2009-03-26,-0.4939,832.86
2009-04-06,-0.23835,835.48
2009-04-13,-0.34,858.73
2009-04-17,-0.5574,869.6
2009-04-28,0.0,855.16
2009-04-30,-0.21075,872.81
2009-05-07,0.5267,907.39
2009-05-11,0.0,909.24
2009-05-29,0.0,919.14
2009-06-01,0.0,942.87
2009-06-05,0.0,940.09
2009-06-11,0.1366,944.89
2009-06-17,-0.11333333333333334,910.71
2009-06-19,-0.34,921.23
2009-06-24,0.4215,900.94
2009-07-01,0.0,923.33
2009-07-02,0.0,896.42
2009-07-08,0.0,879.56
2009-07-09,0.6369,882.68
2009-07-13,0.3612,901.05
2009-07-31,0.0,987.48
2009-08-05,-0.4939,1002.72
2009-08-07,0.0,1010.48
2009-08-11,-0.4215,994.35
2009-08-13,-0.0572,1012.73
2009-08-14,0.2732,1004.09
2009-08-19,0.0,996.46
2009-08-31,0.0,1020.62
2009-09-01,0.0,998.04
2009-09-02,0.0,994.75
2009-09-08,0.0,1025.39
2009-09-09,-0.4019,1033.37
2009-09-10,0.3612,1044.14
